title,year,creator,tags,summary,url,thumbnail
Africa Screams,1949,,comedy | Abbott | Costello | Abbott and Costello,"from IMDB.com: ""Abbott & Costello search for diamonds in Africa, along the way meeting a visually-impaired gunner, a hungry lion, and a tribe of cannibals."" Also stars Clyde Beatty and Shemp Howard. You can load the mpeg2 file into…",https://archive.org/details/AfricaScreams,https://archive.org/services/img/AfricaScreams
Inner Sanctum,1948,,noir | Fritz Leiber | Charles Russell | Mary Beth Hughes,"An atmospheric film starring Charles Russell and Mary Beth Hughes. Fritz Leiber, Sr. (father of the famous author) has a cameo as a seer or psychic. ""You're very pretty ... when those lips aren't moving."" The IMDB entry is here. This print…",https://archive.org/details/Inner_Sanctum_movie,https://archive.org/services/img/Inner_Sanctum_movie
Public Domain Movies,,,public domain movies,this is a lot of public domain movies,https://archive.org/details/publicmovies212,https://archive.org/services/img/publicmovies212
Concrete Cowboys,1979,Richard Newton,Mystery | Tom Selleck | Jerry Reed | Morgan Fairchild,Tom Selleck and Jerry Reed are a couple of con-artist cowboys from Montana who end up in Nashville in the adventure of their lives.,https://archive.org/details/ConcreteCowboys,https://archive.org/services/img/ConcreteCowboys
Detour,1945,,Crime | Drama | Film-Noir | Mystery | Thriller,"""Man is involved in two freakish accidents that make him look like a murderer. Poverty row masterwork that is the most precise elucidation of the noir theme of explicit fatalism."" - noir expert Spencer Selby | Cast: Tom Neal, Ann Savage,…",https://archive.org/details/Detour,https://archive.org/services/img/Detour
Triumph of the Will (German: Triumph des Willens),,Leni Riefenstahl,Triumph | Will | nazi | germany | hitler | Nuremberg | Leni Riefenstahl,Triumph of the Will (German: Triumph des Willens) is a propaganda film made by Leni Riefenstahl. It chronicles the 1934 Nazi Party Congress in Nuremberg. The film contains excerpts from speeches given by various Nazi leaders at the…,https://archive.org/details/TriumphOfTheWillgermanTriumphDesWillens,https://archive.org/services/img/TriumphOfTheWillgermanTriumphDesWillens
The Over-the-Hill Gang,1969,Shelley Hull,Comedy | Western | Family | Walter Brennan | Andy Devine | Edgar Buchanan,Captain Oren Hayes (Pat O'Brien) of the Texas Rangers takes a break to visit his daughter (Kristin Harmon) in a neighboring town. When he arrives he find's his daughter Hannah's husband Jeff (Ricky Nelson) is running for Mayor against a…,https://archive.org/details/TheOvertheHillGang,https://archive.org/services/img/TheOvertheHillGang
Sword of Lancelot,1963,,,"Also known as Lancelot and Guinevere, this romantic epic tells the tale of the legendary Lancelot and Guinevere. IMDB page",https://archive.org/details/cco_swordoflancelot,https://archive.org/services/img/cco_swordoflancelot
Texas Terror,1935,Paul Malvern,John Wayne,You can find more information regarding this film on its IMDb page .,https://archive.org/details/texas_terror_1935,https://archive.org/services/img/texas_terror_1935
"Charlie Chaplin's ""Charlie Shanghaied""",1915,,Charlie Chaplin | Silents,Charlie Chaplin's 46th Film Released Oct 04 1915 http://www.imdb.com/title/tt0006032/ Charlie Chaplin In The Internet Archive http://www.archive.org/details/CC_1914_02_02_MakingALiving…,https://archive.org/details/CC_1915_10_04_CharlieShanghaied,https://archive.org/services/img/CC_1915_10_04_CharlieShanghaied
Star Wreck: In the Pirkining,2005,,Finland | Scandinavia | Cult | Comedy | Parody | Sci-Fi | Science Fiction | Independent Film,"A Finnish culthit that became internationaly known through it's open CC-license. From IMDB: The future looks bleak for Captain Pirk. Originally from the far future, he traveled back to save the world, but was shipwrecked on the 21st…",https://archive.org/details/StarWreckInThePirkining,https://archive.org/services/img/StarWreckInThePirkining
Captain Kidd,1945,Benedict Bogeaus,Action | Drama | Adventure | Charles Laughton,"Charles Laughton plays Kidd, a merchant captain who cons the King of England (Henry Daniell) into allowing him to take to the sea to recover a lost treasure and escort a ship back to London. An old fellow conspirator who he thought dead…",https://archive.org/details/CaptainKidd_,https://archive.org/services/img/CaptainKidd_
"Big Show, The",1936,Mack V. Wright,,You can find more information regarding this film on its IMDb page .,https://archive.org/details/the_big_show,https://archive.org/services/img/the_big_show
Haxan,1922,,Haxan Häxan horror witches witchcraft,"Häxan (Haxan) is a 1922 film, more information here: http://en.wikipedia.org/wiki/H%C3%A4xan Source for this video: http://www.publicdomaintorrents.com/nshowmovie.html?movieid=1022 video uploaded in .avi format For more information on…",https://archive.org/details/Haxan_tinted_and_subtitled,https://archive.org/services/img/Haxan_tinted_and_subtitled
Naked Massacre,1976,CineVideo,Horror | Born for Hell | Movie Powder | avi,"Loosely based on the notorious Richard Speck murders, this is the grim tale of a disturbed Vietnam vet returning home via Belfast, who invades a house shared by eight nurses and proceeds to terrorize and murder them. - IMDB Description",https://archive.org/details/NakedMassacre1976,https://archive.org/services/img/NakedMassacre1976
"Charlie Chaplin's ""The Cure""",,,,"Charlie Chaplin's 60th Film Released April 16 1917 The Cure is a short comedy film written and directed by Charlie Chaplin. Chaplin plays a drunk who checks into a health spa to dry out, but his suitcase full of alcohol does not aid him in…",https://archive.org/details/CC_1917_04_16_TheCure,https://archive.org/services/img/CC_1917_04_16_TheCure
Blood on the Sun,1945,William Cagney,Action | Drama | War | Romance | James Cagney,In pre-World War II Tokyo the American newspaper editor Nick Condon (James Cagney) working for an English-language daily paper aimed at the American business community is given a document relating to Japan's foreign affairs which could…,https://archive.org/details/BloodontheSun,https://archive.org/services/img/BloodontheSun
Rockstar ( 2011),2011,Imtiaz Ali,Imtiaz Ali | Ranbir Kapoor | Rockstar | Bollywood 2011 | Bollywood,"Rockstar is a 2011 Indian Hindi - language musical - romantic drama film written and directed by Imtiaz Ali and produced by former Eros International head Sunil Lulla and Shree Ashtavinayak Cine Vision Limited chief Dhilin Mehta , starring…",https://archive.org/details/rockstar-2011,https://archive.org/services/img/rockstar-2011
The Snows of Kilimanjaro,1952,Darryl F. Zanuck,Adventure | Drama | Romance | Ernest Hemingway | Ava Gardner | Susan Hayward | Gregory Peck,"The story centers on the memories of a writer (Gregory Peck) who is taking a safari in Africa. He develops a dangerous wound from a thorn prick, and lies awaiting his slow death. The loss of physical capability causes him to look inside…",https://archive.org/details/Kilimanjaro,https://archive.org/services/img/Kilimanjaro
Behave Yourself,1951,Norman Krasna,Comedy | Romance,"When a cute Welsh terrier follows Bill Denny home, little does he know that all gangland has its eye on that dog. Who will be bumbling Bill's undoing - the gangsters, the cops, or his suspicious mother-in-law? Stars Farley Granger and…",https://archive.org/details/behave_yourself_ipod,https://archive.org/services/img/behave_yourself_ipod
Jail Bait,1954,Edward D Wood Jr,Edward D Wood Jr | Mystery | Crime Thriller | Steve Reeves | Delores Fuller | Lyle Talbot | Ed Wood,Jail Bait (1954) Directed by Edward D Wood Jr. A Howco Release A vicious criminal uses plastic surgery to escape the police.This movie features Steve Reeves (undubbed). This is the original version of the film released in 1954. This film…,https://archive.org/details/JailBait,https://archive.org/services/img/JailBait
"Charlie Chaplin's ""The Good For Nothing""",1914,,Charlie Chaplin | Silents,Charlie Chaplins 25th Film Released Aug. 31 1914 As His New Profession An American comedy silent film made at the Keystone Studios and starring Charlie Chaplin. The film involves Chaplin taking care of a man in a wheelchair.…,https://archive.org/details/CC_1914_08_31_TheGoodforNothing,https://archive.org/services/img/CC_1914_08_31_TheGoodforNothing
Angel on My Shoulder,1946,,Comedy,You can find more information regarding this film on its IMDb page .,https://archive.org/details/angel_on_my_shoulder,https://archive.org/services/img/angel_on_my_shoulder
Mark of Zorro,1920,Douglas Fairbanks,western | silent,Mark of Zorro was the transition between Douglas Fairbanks' early career as a brash all-American hero and the lavish 1920s costume adventures.,https://archive.org/details/markofzorro-1920,https://archive.org/services/img/markofzorro-1920
City of the Dead/Horror Hotel,1960,Ben Arbeid,Horror | Witchcraft | Christopher Lee | 1960s,"College student Nan Barlow visits the village of Whitewood as research for her paper on witchcraft in New England, particularly the case of Elizabeth Selwyn. Her tutor, Professor Alan Driscoll(Lee), recommends the Raven's Inn, run by a…",https://archive.org/details/Horror_Hotel,https://archive.org/services/img/Horror_Hotel
Beau Ideal,1931,William LeBaron,Adventure | Romance | War | Loretta Young | Ralph Forbes,An American (Ralph Forbes) joins the French Foreign Legion in order to rescue a boyhood friend.,https://archive.org/details/BeauIdeal,https://archive.org/services/img/BeauIdeal
Disorder in the Court,1936,Jules White,comedy | short | three stooges,You can find more information regarding this film on its IMDb page .,https://archive.org/details/disorder_in_the_court,https://archive.org/services/img/disorder_in_the_court
Intolerance,1916,D.W. Griffith,Silent | Drama | History | D.W. Griffith,"Director D.W. Griffith's expensive, most ambitious silent film masterpiece Intolerance (1916) is one of the milestones and landmarks in cinematic history. Many reviewers and film historians consider it the greatest film of the silent era.…",https://archive.org/details/Intolerance,https://archive.org/services/img/Intolerance
Strange Love of Martha Ivers,1946,,noir | Van Heflin | Lizabeth Scott,"Top-of-the-line noir melodrama featuring Van Heflin, Barbara Stanwyck, Lizabeth Scott, and Kirk Douglas. Don't miss it. (The video is interlaced in the MPEG2 file. If viewing with VLC, deinterlace with menu-path Video/Deinterlace/Blend.)…",https://archive.org/details/Martha_Ivers_movie,https://archive.org/services/img/Martha_Ivers_movie
1968 Weg zum Nachbarn (Way to the Neighbour),1968,Lutz Mommartz,Lutz Mommartz | German experimental Cinema | Renate Meves | Gerd Hübinger.,"With Renate Meves and Gerd Hübinger. A woman looks during lovemaking to the viewer. ""Way to the neighbor"" is a ten-minute opus that Lutz Mommartz commented as follows: ""A women communicates with the audience."" More, in fact, does not…",https://archive.org/details/Mommartz_Weg_zum_Nachbarn_1968,https://archive.org/services/img/Mommartz_Weg_zum_Nachbarn_1968
Farewell to Arms,1932,Edward A. Blatt,drama,You can find more information regarding this film on its IMDb page .,https://archive.org/details/farewell_to_arms_ipod,https://archive.org/services/img/farewell_to_arms_ipod
Please Murder Me,1956,,murder | lawyer | Raymond Burr | noir | thriller | Angela Lansbury | Perry Mason | Dick Foran,"How's that for a title? Lawyer Raymond Burr (seeming very much like Perry Mason) brilliantly defends Angela Lansbury, who seems certain to be found guilty of murdering her husband, who was Burr's best friend! Instead of spoiling it for…",https://archive.org/details/Please_Murder_Me_movie,https://archive.org/services/img/Please_Murder_Me_movie
Planet Outlaws,1953,,Buck Rogers | Sci FI,Buck Rogers (1939) re-edited from serial to feature format and re-released for theatrical distribution in 1953; an American soldier suspended in time wakes up to find himself in the futuristic world of the year 2500. Updated: I've…,https://archive.org/details/planet_outlaws_ipod,https://archive.org/services/img/planet_outlaws_ipod
The Little Shop Of Horrors,,Rodger Corman,Rodger Corman | horror | black comedy | Jack Nicholson,"Roger Corman classic about a nerdy flowershop clerk who grows a giant, man-eating plant. Jack Nicholson makes his film debut as a dental patient who loves pain.",https://archive.org/details/Little_ShopOf_Horrors.avi,https://archive.org/services/img/Little_ShopOf_Horrors.avi
At War with the Army,1950,"Fred F. Finklehoffe, Abner J. Greshler",Comedy | Musical | Romance | War | Jerry Lewis | Dean Martin,"This is a fun WWII-era B&W movie, full of Jerry Lewis and his ridiculous goofiness! Featuring Dean Martin and Jerry Lewis in their first collaboration. Jerry is a hapless private and Dean is the bossy First Sergeant of a slipshod platoon…",https://archive.org/details/AtWarWithTheArmy,https://archive.org/services/img/AtWarWithTheArmy
"Charlie Chaplin's ""Charlie's Recreation""",1914,,Charlie Chaplin | Silents,Charlie Chaplin's 23rd film released August 13 1914 http://www.imdb.com/title/tt0004518/ Charlie Chaplin In The Internet Archive http://www.archive.org/details/CC_1914_02_02_MakingALiving…,https://archive.org/details/CC_1914_08_13_CharliesRecreation,https://archive.org/services/img/CC_1914_08_13_CharliesRecreation
